position,time
rest,5
mindful shoulder circles,30
rest,10
angel wings,30
rest,10
seated spinal twist L,30
rest,10
seated spinal twist R,30
rest,10
cat cow,30
rest,10
thoracic rotation L,30
rest,10
thoracic rotation R,30
rest,10
extended puppy pose,30
rest,10
sphinx,30
rest,10
locust pose,30
rest,10
shoulder stretch L,30
rest,10
shoulder stretch R,30
rest,10
left hand fingers,10
left hand wrist,10
right hand fingers,10
right hand wrist,10
wrist twirls, 10
rest,10
neck stretch L,15
neck stretch R,15
neck stretch D,15
neck twirl,5
rest,10
heart opener,20
easy twist,10
rest,10
dynamic camel,30
leg shake,15
rest,10
shoulder bridge,30
rest,10
deep relaxation,30
nothing,1